Date,Open,High,Low,Close
1/3/2008,23.75,23.75,23.75,23.75
1/4/2008,24.5,24.5,24.5,24.5
1/7/2008,24.22,24.22,24.22,24.22
1/8/2008,25.18,25.18,25.18,25.18
1/9/2008,24.48,24.48,24.48,24.48
1/10/2008,24.57,24.57,24.57,24.57
1/11/2008,24.96,24.96,24.96,24.96
1/14/2008,24.41,24.41,24.41,24.41
1/15/2008,24.9,24.9,24.9,24.9
1/16/2008,24.64,24.64,24.64,24.64
1/17/2008,26.52,26.52,26.52,26.52
1/18/2008,26.11,26.11,26.11,26.11
1/22/2008,26.87,26.87,26.87,26.87
1/23/2008,25.73,25.73,25.73,25.73
1/24/2008,25.74,25.74,25.74,25.74
1/25/2008,26.48,26.48,26.48,26.48
1/28/2008,25.73,25.73,25.73,25.73
1/29/2008,25.43,25.43,25.43,25.43
1/30/2008,25.68,25.68,25.68,25.68
1/31/2008,22.83,22.83,22.83,22.83
2/1/2008,24.18,24.18,24.18,24.18
2/4/2008,25.13,25.13,25.13,25.13
2/5/2008,26.58,26.58,26.58,26.58
2/6/2008,27.23,27.23,27.23,27.23
2/7/2008,26.47,26.47,26.47,26.47
2/8/2008,26.77,26.77,26.77,26.77
2/11/2008,26.38,26.38,26.38,26.38
2/12/2008,26.1,26.1,26.1,26.1
2/13/2008,25.53,25.53,25.53,25.53
2/14/2008,25.67,25.67,25.67,25.67
2/15/2008,25.65,25.65,25.65,25.65
2/19/2008,25.5,25.5,25.5,25.5
2/20/2008,24.95,24.95,24.95,24.95
2/21/2008,25.33,25.33,25.33,25.33
2/22/2008,24.79,24.79,24.79,24.79
2/25/2008,24.3,24.3,24.3,24.3
2/26/2008,23.78,23.78,23.78,23.78
2/27/2008,24.17,24.17,24.17,24.17
2/28/2008,24.61,24.61,24.61,24.61
2/29/2008,26.33,26.33,26.33,26.33
3/3/2008,25.91,25.91,25.91,25.91
3/4/2008,25.52,25.52,25.52,25.52
3/5/2008,24.8,24.8,24.8,24.8
3/6/2008,26.44,26.44,26.44,26.44
3/7/2008,26.51,26.51,26.51,26.51
3/10/2008,27.51,27.51,27.51,27.51
3/11/2008,25.77,25.77,25.77,25.77
3/12/2008,26.91,26.91,26.91,26.91
3/13/2008,27.03,27.03,27.03,27.03
3/14/2008,28.48,28.48,28.48,28.48
3/17/2008,28.41,28.41,28.41,28.41
3/18/2008,25.61,25.61,25.61,25.61
3/19/2008,27.83,27.83,27.83,27.83
3/20/2008,26.56,26.56,26.56,26.56
3/24/2008,25.91,25.91,25.91,25.91
3/25/2008,26.14,26.14,26.14,26.14
3/26/2008,26.49,26.49,26.49,26.49
3/27/2008,26.27,26.27,26.27,26.27
3/28/2008,26.24,26.24,26.24,26.24
3/31/2008,25.75,25.75,25.75,25.75
4/1/2008,24.2,24.2,24.2,24.2
4/2/2008,24.66,24.66,24.66,24.66
4/3/2008,24.64,24.64,24.64,24.64
4/4/2008,24.06,24.06,24.06,24.06
4/7/2008,23.7,23.7,23.7,23.7
4/8/2008,23.66,23.66,23.66,23.66
4/9/2008,24.11,24.11,24.11,24.11
4/10/2008,23.68,23.68,23.68,23.68
4/11/2008,24.55,24.55,24.55,24.55
4/14/2008,24.72,24.72,24.72,24.72
4/15/2008,24.26,24.26,24.26,24.26
4/16/2008,22.72,22.72,22.72,22.72
4/17/2008,22.63,22.63,22.63,22.63
4/18/2008,22.29,22.29,22.29,22.29
4/21/2008,22.25,22.25,22.25,22.25
4/22/2008,22.67,22.67,22.67,22.67
4/23/2008,22.65,22.65,22.65,22.65
4/24/2008,22.27,22.27,22.27,22.27
4/25/2008,21.68,21.68,21.68,21.68
4/28/2008,21.45,21.45,21.45,21.45
4/29/2008,21.72,21.72,21.72,21.72
4/30/2008,21.93,21.93,21.93,21.93
5/1/2008,20.77,20.77,20.77,20.77
5/2/2008,20.59,20.59,20.59,20.59
