Date,Open,High,Low,Close
1/3/2011,,,,16.04
1/4/2011,,,,16.06
1/5/2011,,,,15.57
1/6/2011,,,,15.71
1/7/2011,,,,15.01
1/10/2011,,,,15.81
1/11/2011,,,,14.93
1/12/2011,,,,14.82
1/13/2011,,,,14.92
1/14/2011,,,,14.3
1/18/2011,,,,16.34
1/19/2011,,,,17.74
1/20/2011,,,,16.98
1/21/2011,,,,17.32
1/24/2011,,,,17.38
1/25/2011,,,,17.75
1/26/2011,,,,16.27
1/27/2011,,,,15.07
1/28/2011,,,,21.25
1/31/2011,,,,20.5
2/1/2011,,,,17.21
2/2/2011,,,,16.83
2/3/2011,,,,15.38
2/4/2011,,,,14.19
2/7/2011,,,,15.33
2/8/2011,,,,14.56
2/9/2011,,,,14.3
2/10/2011,,,,14.53
2/11/2011,,,,14.79
2/14/2011,,,,16.16
2/15/2011,,,,16.58
2/16/2011,,,,16.87
2/17/2011,,,,15.81
2/18/2011,,,,14.92
2/22/2011,,,,22.09
2/23/2011,,,,22.77
2/24/2011,,,,21.51
2/25/2011,,,,18.47
2/28/2011,,,,18.3
3/1/2011,,,,21.59
3/2/2011,,,,20.78
3/3/2011,,,,16.85
3/4/2011,,,,17.69
3/7/2011,,,,20.97
3/8/2011,,,,19.34
3/9/2011,,,,19.93
3/10/2011,,,,22.89
3/11/2011,,,,19.4
3/14/2011,,,,21.93
3/15/2011,,,,25.9
3/16/2011,,,,31.04
3/17/2011,,,,28.62
3/18/2011,,,,25.31
3/21/2011,,,,21.02
3/22/2011,,,,20.17
3/23/2011,,,,19.06
3/24/2011,,,,17.42
3/25/2011,,,,17.49
3/28/2011,,,,19.84
3/29/2011,,,,17.46
3/30/2011,,,,16.98
3/31/2011,,,,16.31
4/1/2011,,,,15.15
4/4/2011,,,,16.72
4/5/2011,,,,15.81
4/6/2011,,,,15.21
4/7/2011,,,,15.93
4/8/2011,,,,17.21
4/11/2011,,,,18.39
4/12/2011,,,,18.93
4/13/2011,,,,17.97
4/14/2011,,,,15.99
4/15/2011,,,,14.28
4/18/2011,,,,17.63
4/19/2011,,,,15.91
4/20/2011,,,,15.04
4/21/2011,,,,13.03
4/25/2011,,,,15.05
4/26/2011,,,,15.16
4/27/2011,,,,14.61
4/28/2011,,,,12.81
4/29/2011,,,,13.09
5/2/2011,,,,15.16
5/3/2011,,,,15.71
5/4/2011,,,,16.37
5/5/2011,,,,18.87
5/6/2011,,,,18.89
5/9/2011,,,,16.56
5/10/2011,,,,14.58
5/11/2011,,,,16.8
5/12/2011,,,,15.1
5/13/2011,,,,17.13
5/16/2011,,,,19.71
5/17/2011,,,,18.33
5/18/2011,,,,16.25
5/19/2011,,,,14.92
5/20/2011,,,,18.1
5/23/2011,,,,18.87
5/24/2011,,,,17.87
5/25/2011,,,,16.83
5/26/2011,,,,14.62
5/27/2011,,,,14.79
5/31/2011,,,,14.89
6/1/2011,,,,19.1
6/2/2011,,,,18.93
6/3/2011,,,,17.99
6/6/2011,,,,19.35
6/7/2011,,,,18.41
6/8/2011,,,,19.02
6/9/2011,,,,18.11
6/10/2011,,,,18.92
6/13/2011,,,,20.28
6/14/2011,,,,18.44
6/15/2011,,,,22.03
6/16/2011,,,,24.63
6/17/2011,,,,23.13
6/20/2011,,,,20.74
6/21/2011,,,,20.18
6/22/2011,,,,18.64
6/23/2011,,,,20.07
6/24/2011,,,,22.47
6/27/2011,,,,21.99
6/28/2011,,,,19.83
6/29/2011,,,,16.96
6/30/2011,,,,15.14
7/1/2011,,,,15.29
7/5/2011,,,,15.85
7/6/2011,,,,15.66
7/7/2011,,,,15.29
7/8/2011,,,,15.56
7/11/2011,,,,20.14
7/12/2011,,,,21.5
7/13/2011,,,,20.65
7/14/2011,,,,22.19
7/15/2011,,,,19.82
7/18/2011,,,,22.13
7/19/2011,,,,19.69
7/20/2011,,,,19.75
